time,x,y,z,vx,vy,vz,roll,pitch,yaw,M_pitch,Fx,Fy,Fz,portance,trainee,traction,Cl,Cd,Cm,speed,AoA_deg
0.1,28.5,0,11000,285,0,-4.45859e-007,0,0.02618,0,40.3273,0,0,0,0,0,0,0.257325,0.0211419,1.14337e-006,285,1.5
0.2,57,0,11000,285,0,-8.91718e-008,0,0.0261801,0,38.8163,0,0,0,0,0,0,0.257325,0.0211419,1.10053e-006,285,1.50001
0.3,85.5,0,11000,285,0,1.78344e-006,0,0.0261802,0,35.9913,0,0,0,0,0,0,0.257325,0.0211419,1.02043e-006,285,1.50001
0.4,114,0,11000,285,0,5.88534e-006,0,0.0261803,0,31.9838,0,0,0,0,0,0,0.257326,0.0211419,9.0681e-007,285,1.50002
0.5,142.5,0,11000,285,0,1.25732e-005,0,0.0261805,0,27.188,0,0,0,0,0,0,0.257326,0.0211419,7.70837e-007,285,1.50003
0.6,171,0,11000,285,0,2.21146e-005,0,0.0261807,0,21.7351,0,0,0,0,0,0,0.257327,0.021142,6.16238e-007,285,1.50004
0.7,199.5,0,11000,285,0,3.49553e-005,0,0.0261809,0,15.8224,0,0,0,0,0,0,0.257328,0.021142,4.48599e-007,285,1.50006
0.8,228,0,11000,285,0,5.10954e-005,0,0.0261812,0,9.71262,0,0,0,0,0,0,0.257329,0.021142,2.75373e-007,285,1.50007
0.9,256.5,0,11000,285,0,7.03565e-005,0,0.0261814,0,3.66851,0,0,0,0,0,0,0.25733,0.021142,1.0401e-007,285,1.50008
1,285,0,11000,285,0,9.28278e-005,0,0.0261816,0,-2.04711,0,0,0,0,0,0,0.257331,0.021142,-5.804e-008,285,1.5001
1.1,313.5,0,11000,285,0,0.000118153,0,0.0261818,0,-7.36855,0,0,0,0,0,0,0.257331,0.0211421,-2.08914e-007,285,1.50011
1.2,342,0,11000,285,0,0.000145974,0,0.026182,0,-12.033,0,0,0,0,0,0,0.257332,0.0211421,-3.41162e-007,285,1.50012
1.3,370.5,0,11000,285,0,0.000175936,0,0.0261822,0,-16.0405,0,0,0,0,0,0,0.257333,0.0211421,-4.54783e-007,285,1.50013
1.4,399,0,11000,285,0,0.000207592,0,0.0261824,0,-19.194,0,0,0,0,0,0,0.257333,0.0211421,-5.4419e-007,285,1.50014
1.5,427.5,0,11000,285,0,0.000240407,0,0.0261826,0,-21.362,0,0,0,0,0,0,0.257333,0.0211421,-6.05658e-007,285,1.50015
1.6,456,0,11000,285,0,0.000273936,0,0.0261827,0,-22.6102,0,0,0,0,0,0,0.257333,0.0211421,-6.41048e-007,285,1.50016
1.7,484.5,0,11000,285,0,0.000307643,0,0.0261828,0,-23.0044,0,0,0,0,0,0,0.257334,0.0211421,-6.52224e-007,285,1.50016
1.8,513,0,11000,285,0,0.000341171,0,0.0261829,0,-22.4788,0,0,0,0,0,0,0.257333,0.0211421,-6.37323e-007,285,1.50017
1.9,541.5,0,11000,285,0,0.000373986,0,0.0261829,0,-21.2306,0,0,0,0,0,0,0.257333,0.0211421,-6.01932e-007,285,1.50017
2,570,0,11000,285,0,0.000405821,0,0.026183,0,-19.3254,0,0,0,0,0,0,0.257333,0.0211421,-5.47916e-007,285,1.50017
2.1,598.5,0,11000,285,0,0.000436228,0,0.026183,0,-16.7632,0,0,0,0,0,0,0.257333,0.0211421,-4.75273e-007,285,1.50017
2.2,627,0,11000,285,0,0.000464942,0,0.026183,0,-13.7411,0,0,0,0,0,0,0.257332,0.0211421,-3.89591e-007,285,1.50017
2.3,655.5,0,11000,285,0,0.000491961,0,0.026183,0,-10.4563,0,0,0,0,0,0,0.257332,0.0211421,-2.96459e-007,285,1.50017
2.4,684,0,11000,285,0,0.000517018,0,0.026183,0,-7.04007,0,0,0,0,0,0,0.257331,0.0211421,-1.99601e-007,285,1.50017
2.5,712.5,0,11000,285,0,0.000540292,0,0.026183,0,-3.62384,0,0,0,0,0,0,0.257331,0.0211421,-1.02744e-007,285,1.50017
